judul,penyanyi,tahun_rilis,label,genre,lirik,link
Tuhan Yesus Setia,Putri Siagian,2023,Sion Production,Gospel,Di saat engkau susah Yesus hibur selalu Di saat engkau lemah Dia kuatkan Yesus mau menolongmu Dalam kesusahanmu Yesus 'kan selalu setia Sampai selama-lamanya Walau pohon ara tak berbunga Pohon anggur tak berbuah Pohon zaitun mengecewakan Ladang-ladang tak menghasilkan Kambing domba terhalau sudah Lembu sapi tak ada Namun aku kan tetap setia Karena Yesus tetap setia..,https://www.youtube.com/watch?v=5I-_PaSpAeY
Di Heningnya Malam Ini - Pop Rohani KK 661 - Live,"IGNITE GKI, Ngagel Youth Community",2024,Ignite GKI,Pop Kontemporer,"Di heningnya malam ini, tulus dan rendah hati, bertelut berdoa pada-Mu; inilah bisik kalbu: Apa yang aku miliki, tubuh dan jiwa ini, kuserahkan hanya pada-Mu, kurban persembahanku. Walau ‘ku berdosa, walau ternoda, tetapi darah yang kudus t’lah sucikan diriku. Apa yang aku miliki, tubuh dan jiwa ini, kuserahkan hanya pada-Mu, kurban persembahanku. Walau ‘ku berdosa, walau ternoda, tetapi darah yang kudus t’lah sucikan diriku. Dan jati diriku kini bukan diriku lagi, melainkan Kristus Tuhanku hidup dalam diriku. Walau ‘ku berdosa, walau ternoda, tetapi darah yang kudus t’lah sucikan diriku.",https://www.youtube.com/watch?v=QXCzQinxuhE
Roh Mu Yang Hidup,Debbie Great,2020,Unknown,Pujian dan Penyembahan,Roh-Mu yang hidup penuhiku Mengalir dalamku Jiwaku tenang bersama-Mu Dalam naungan-Mu 'Ku buka hati 'tuk jamahan-Mu Berserah penuh di hadirat-Mu Kau ambil alih seluruh hidupku Di altar-Mu menyembah-Mu Roh-Mu yang Kudus pulihkanku Engkaulah damaiku 'Ku hidup oleh anugerah-Mu Yang menyertaiku Yang menyertaiku 'Ku buka hati 'tuk jamahan-Mu Berserah penuh di hadirat-Mu Kau ambil alih seluruh hidupku Di altar-Mu menyembah-Mu 'Ku buka hati 'tuk jamahan-Mu Berserah penuh di hadirat-Mu Kau ambil alih seluruh hidupku Di altar-Mu menyembah-Mu Roh-Mu yang Kudus pulihkanku Engkaulah damaiku 'Ku hidup oleh anugerah-Mu Yang menyertaiku Roh-Mu yang hidup penuhiku Datang urapiku 'Ku siap terima kuasa-Mu Hidupku bagi-Mu 'Ku buka hati 'tuk jamahan-Mu Berserah penuh di hadirat-Mu Kau ambil alih seluruh hidupku Di altar-Mu menyembah-Mu 'Ku buka hati 'tuk jamahan-Mu Berserah penuh di hadirat-Mu Kau ambil alih seluruh hidupku Di altar-Mu menyembah-Mu Di altar-Mu menyembah-Mu,https://www.youtube.com/watch?v=ZQWiZKjVN0w
Ya Allah KasihMu Besar - Pop Rohani KK 431,IGNITE GKI,2024,Ignite GKI,Pop Kontemporer,"Ya Allah, kasih-Mu besar, lebih besar dari segala, tiada terduga dalamnya,tiada terjangkau luasnya. Ya Yesus, kasih-Mu besar, lebih besar dari segala. Hidup kekal Engkau beri dan aku hidup berseri! [REFF]Dalam doa aku bersyukur atas limpah kasih-Mu. Ajar aku mengasihi-Mu dan sesama manusia.",https://www.youtube.com/watch?v=8lsxyLSZUsw
Tuhan Yesus Setia,Maria Shandi,2016,Impact Music,Pop Kontemporer,Tuhan Yesus setia Dia sahabat kita Dalam s'gala susahku Selalu menghiburku Dia mengerti bahasa Tetesan air mata Waktu badai mengamuk Dan Gelombang menyerang Tuhan Yesus setia. Tuhan Yesus setia 2X,https://www.youtube.com/watch?v=V_3VIh3FS7w
PenyertaanMu Luar Biasa,Putri Siagian,2023,Media Berkat Nusantara,Pujian dan Penyembahan,Bila dalam hidup ini seakan s'mua tak berarti tetapi yg ku tau pasti Bapa di sorga sllu menyertai bila dalam hidup ini seakan tiada yg mengerti tetapi yg ku tau pasti Bapa di sorga selalu perduli PenyertaanMu luar biasa rancanganMu sungguh sempurna melebihi s'gala rencana Kau membuat s'mua menjadi indah,https://www.youtube.com/watch?v=dy86lcxGAwk
Tuhanku Yesus - Pop Rohani KK 61 - Live,"IGNITE GKI, KDM GKI GS",2024,Ignite GKI,Pop,"[VERSE 1] Tuhanku Yesus, Raja alam raya Allah dan Manusia, Kau kasihi, Kau Junjunganku, Bahagiaku yang baka. [VERSE 2]Indah tamasya, indah sawah ladang, sungguh elok berseri; yang lebih indah Kau, Tuhan Yesus: Engkau menghibur yang sedih. [BRIDGE]Layaklah Engkau kupuji untuk karya-mu yang besar Kasih setia tiada tara menyertaiku senantiasa [VERSE 3]Apa yang indah dalam dunia ini nampak dalam diri-Mu. Yang Mahaindah, Harta sorgawi, hanya Engkau, ya Tuhanku!",https://www.youtube.com/watch?v=tiEOxKYMTck 
Oleh Bilur Yesus,Welyar Kauntu,2024,Maranatha Indonesia,Pop Kontemporer,"Oleh bilur Yesus, ku disembuhkan. Oleh bilur Yesus, ku disembuhkan. Oleh bilur Yesus, ku disembuhkan. haleluya amin. BilurNya, bilurNya BilurNya sungguh heran BilurNya, bilurNya BilurNya membawa kesembuhan Asal saja percaya saja Semua sakit hilanglah Oleh Tuhan Yesus tertolong. Dalam Nama Yesus ku dipulihkan,Dalam Nama Yesus Ku dipulihkan,Dalam Nama Yesus Ku dipulihkan Haleluya Amin. Dalam Nama Yesus ku diberkati, Dalam Nama Yesus ku diberkati, Dalam Nama Yesus ku diberkati Haleluya Amin",https://www.youtube.com/watch?v=LmVAcuNMSsg
Kau Mengasihiku,Lomo Nababan,2025,CMD Record,Pop,Kasih MU yg tak bersyarat Tulus dan sempurna Kau memberi lebih dari yg layak Kutrima di hidupku Kubertrima kasih Atas kebaikan MU [Reff]Bila sampai saat ini aku ada Semua karena Anugrah MU Bila sampai saat ini ku masih berdiri Semua karna cinta MU bagi diriku Bila sampai saat ini ku masih tersenyum Semua karna kemurahan MU Trima kasih YESUS KAU Mengasihiku Anugrah MU sungguh mempesonaku Hanya KAU TUHAN cukup bagiku,https://www.youtube.com/watch?v=KV1Qcf5gQg8 
Kala Ku Cari Damai,GKDI Worship,2025,GKDI Official,Pop,Kala ku cari damai Hanya ku dapat dalam Yesus Kala ku cari ketenangan Hanya ku temui di dalam Yesus Tak satu pun dapat menghiburku Tak seorang pun dapat menolongku Hanya Yesus jawaban hidupku,https://www.youtube.com/watch?v=CNOsLHwDnC8
Ajaib Benar Anugerah,Franky Pangkerego,2010,Maranatha,Hymne,"Ajaib benar anugerah pembaru hidupku! ‘Ku hilang, buta, bercela; olehnya ‘ku sembuh. Ketika insaf, ‘ku cemas, sekarang ‘ku lega! Syukur, bebanku t’lah lepas berkat anugerah! Di jurang yang penuh jerat terancam jiwaku; anug’rah kupegang erat dan aman pulangku. Kudapat janji yang teguh, kuharap sabdaNya dan Tuhanlah perisaiku tetap selamanya. Kendati nanti ragaku terkubur dan lenyap, padanya aku berteduh bahagia tetap. Meski selaksa tahun lenyap di sorga mulia, rasanya baru sekejap memuji namaNya!",https://www.youtube.com/watch?v=33hRpO9EdtE
Ku Berikan Syukurku,Putri Siagian,2023,Sion Production,Pujian dan Penyembahan,"Kau Bapa yang baik Selalu besertaku Setiap detik, setiap waktu Kau perhatikanku Kau Bapa yang setia Selalu menjagaku Kau angkatku bila ku jatuh Kau menopangku Ku berikan syukurku Buat kebaikan-Mu Ku berikan syukurku Buat pertolongan-Mu Sebab Kau jadikanku Berharga di mata-Mu Kau Bapa yang baik Ku mengasihi-Mu Kau Bapa yang baik Ku mengasihi-Mu",https://www.youtube.com/watch?v=urT5zOVEmwo 
Nama Yang Termanis,Putri Siagian,2025,Media berkat Nusantara,Pop,Hari berganti hari Dan waktu terus berlalu Namun kasih setiamu Tak pernah berlalu Apa yang kurasakan Disaat saat aku jatuh Tuhan Yesus selalu menjagaku di setiap langkahku Tuhan pakai hidupku Menjadi saksi bagi namamu Agar aku selalu memuji namamu Tak dapat ku balaskan dan tak dapat kuberikan besar anugrahmu Tuhan Yang kau nyatakan bagi diriku Aku bisa memuji karena kau Yesus Aku bisa bermazmur karena kau Yesus Nama itu yang buat dapat memuji dia Aku bisa memuji karena kau Yesus Aku bisa bermazmur karena kau Yesus Nama itu yang paling manis teramat manis,https://www.youtube.com/watch?v=iR-r5hwEMSU 
Dia Hanya Sejauh Doa,Rany Simbolon,2022,Media Berkat Nusantara,Pop,Tuhan memberi Lebih dari yang kita mau Tuhan mengasihi Lebih dari yang kita tahu Tetapkan hati dan percaya sungguh Saat kita mengangkat tangan Tuhan Yesus Pasti turun tangan Dia hanya sejauh doa Serahkan padaNya Segala susahmu Segala kwatirmu Tuhan mengerti apa yang kau mau Dia hanya sejauh doa Berharap padanya Mujizat itu nyata Percaya padaNya Yesus hanya sejauh doa,https://www.youtube.com/watch?v=oOqZyvXxXhU 
Bapa Kau Setia,Veren,2018,Impact Music,Pop,Bapa Kau setia Bapa Kau mulia Tenanglah jiwaku Aman bersamaMu Lebih dari harta Kaulah segalaNya Tenanglah jiwaku Dalam hadiratMu Kau tunjukan kasih setiaMu Kau menyediakan yang kuperlu Kau Setia Kau Mulia Dulu s'karang dan slamaNya Kau tunjukan kasih setiaMu Kau menyediakan yang kuperlu Kau setia kau mulia Bapa Kau setia,https://www.youtube.com/watch?v=AlSBfXV9EbI
Ku Kagum Hormat Akan Engkau,Regina Pangkerego,2023,Unknown,Pop,"Kau sungguh indah tiada taranya Sungguh menakjubkan Sungguh ajaib tuk dimengerti Lebih dari s’mua yang ada [Verse 2]HikmatMu tiada terselami KasihMu dalam tak terduga Kau sungguh indah tiada taranya Mulia dan berkuasa [Chorus]Ku kagum, hormat akan Engkau Ku kagum, hormat akan Engkau Kau Allah yang layak dipuji Ku kagum akan Engkau",https://www.youtube.com/watch?v=cWmBgofTj20
Ku Berserah,Veren,2016,Impact Music,Pujian dan Penyembahan,"Ku berserah, ku berserah Tuhan pegang seluruh hidupku Ku berserah, ku berserah Ku tau Tuhan baik bagiku Kau bukakan jalan di lautan Mata air di padang gurun Tiada yang sukar di mata-Mu Ku serahkan hidupku pada-Mu",https://www.youtube.com/watch?v=t_eEjmK-gYI 
Terangi Jalanku,Putri Siagian,2025,Sastromijoyo Lumban Gaol,Pop,Tuhan...bagaimana harus kubalas Semua kebaikan yang telah kau berikan Bagi diriku selama ini Hidupku Telah kau selamatkan Bila...kurenungkan arti hidupku Seringkali kulakukan kesalahan Menyakiti hati Tuhan Yesus Hidupku di dalam tangan-Mu Kini kudatang pada-Mu Bersujud dan menyembah Di kaki salib-Mu Kini kumohon pada-Mu Terangilah jalan kehidupanku Ingin kubalas semua kebaikan-Mu Yang nyata dalam hidupku,https://www.youtube.com/watch?v=GMTPbZyYTro
Allah Roh Kudus,Robert & Lea Sutanto,2018,Unknown,Pujian dan Penyembahan,"ALLAH ROH KUDUS PENUHI KAMI KURINDU KAU SELALU DALAM HIDUPKU ALLAH ROH KUDUS UBAH HATIKU CELIKKANKU, JAMAHLAH KURINDU HADIRATMU KUSEMBAH KUDUS, KUDUS KUDUSLAH TUHAN DAN KUSANJUNG KAU MULIA MULIA BAGIMU TUHAN",https://www.youtube.com/watch?v=l1dMHm1xXaI
Dia Nobatkanlah - Pop Rohani KK 274 - Live,"IGNITE GKI, KDM GKI GS",2024,Ignite GKI,Pop,"[VERSE 1]Dia nobatkanlah Sang Raja Penebus; bahana sorga bergema memuji Dia t'rus. Hai bangun, jiwaku, bernyanyilah serta, Memuji Jurus'lamatmu kekal selamanya. [VERSE 2]Dia nobatkanlah Sang Raja hidupmu; sang maut dikalahkan-Nya demi selamatmu. Muliakan nama-Nya yang mati dan menang, Memb'rikan hidup yang kekal menghalau maut kejam. [BRIDGE] Dia Nobatkanlah Yesus Raja Mulia [VERSE 3]Dia nobatkanlah Sang Raja yang baka, Pencipta alam semesta sempurna dan megah. Hormati Penebus yang agung mulia; Sang Anakdomba yang kudus terpuji s'lamanya.",https://www.youtube.com/watch?v=LLvyrA9XdCI
Kasih Setiamu,Maria Shandi,2016,Impact Music,Ballad,Kasih setiaMu yang kurasakan Lebih tinggi dari langit biru KebaikanMu yang t'lah Kau nyatakan Lebih dalam dari lautan BerkatMu yang telah kuterima Sempat membuatku terpesona Apa yang tak pernah kupikirkan Itu yang Kau sediakan bagiku [REFF]Siapakah aku ini Tuhan Jadi biji mataMu Dengan apakah kubalas Tuhan S’lain puji dan sembah Kau,https://www.youtube.com/watch?v=r5eEcQrjvhc 
Kasih Itu Sabar - Pop Rohani KK 563 - Live,"IGNITE GKI, GKI Maulana Yusuf",2025,Ignite GKI,Pop,Kasih itu sabar Kasih itu bersahaja Kasih tak serakah tidak mementingkan diri sendiri [REFF]Dalam kasih kita saling memahami Berbagi suka maupun duka bersama Tak memandang Insan dalam perbedaan Semua sama di hadapan Allah [BRIDGE] Kasih itu sabar Kasih itu murah hati Ia tak cemburu Tak megahkan diri sendiri [VERSE 3] Kasih itu sabar Kasih itu memaafkan Kasih tak pemarah Tak menyimpan kesalahan sesama [VERSE 4]Kasih itu sabar Kasih itu tulus hati Kasih s'lalu bawa Sukacita serta damai sejaht'ra [VERSE 5]Kasih itu sabar Kasih tak berkesudahan Walau dunia hilang Tapi kasih tetap ada s'lamanya,https://www.youtube.com/watch?v=7VjWe6JCwmc
Doa Mengubah Segala Sesuatu,Vania Larissa,2014,Impact Music,Pop,Saat keadaan sekelilingku Ada di luar kemampuanku Kuberdiam diri mencari Mu Doa mengubah segala sesuatu Saat kenyataan di depanku Mengecewakan perasaanku Kumenutup mata memandangMu S'bab doa mengubah segala sesuatu [Reff]Doa orang benar bila didoakan Dengan yakin besar kuasanya Dan tiap doa yang lahir dari iman berkuasa menyelamatkan S'perti mata air ditanganmu Mengalir ke manapun kau mau Tiada yang mustahil di mata Mu Doa mengubah segala sesuatu,https://www.youtube.com/watch?v=pC03BfM-gdE 
Mengikut Yesus Keputusanku - Pop Rohani KK 399 - Live,"IGNITE GKI, GKI Maulana Yusuf",2025,Ignite GKI,Pop,"Mengikut Yesus keputusanku,Mengikut Yesus keputusanku, Mengikut Yesus keputusanku Tetap teguh, tetap teguh. [VERSE 2] Dunia kutolak, ‘ku ikut salib Dunia kutolak, ‘ku ikut salib Dunia kutolak, ‘ku ikut salib Tetap teguh, tetap teguh. [VERSE 3]Walau sendiri, tetap ‘ku ikut Walau sendiri, tetap ‘ku ikut Walau sendiri, tetap ‘ku ikut Tetap teguh, tetap teguh. [VERSE 4] 'Ku ikut sampai ke rumah Bapa 'Ku ikut sampai ke rumah Bapa 'Ku ikut sampai ke rumah Bapa Tetap teguh, tetap teguh.",https://www.youtube.com/watch?v=7PGGUUr2nFQ
Inilah Hidupku,Brenda,2008,Maranatha Indonesia,Pujian dan Penyembahan,kurindukan kediamanMu Bawaku lebih dekat Selalu di hatiMu ku percaya penuh padaMu Inilah hidupku Bukan dengan hanya melihat Namun dengan percaya ku ada karenaMu ku berikan seluruh hidupku Hanya kepadaMu Ini aku Tuhan bejana kasihMu Ajarku setia seturut kehendakMu Ini aku Tuhan bentuklah hidupku Ajarku mengenal seluruh rencanaMu Di dalam hidupku Ajarku mengenal seluruh rencanaMu Ajarku mengenal seluruh rencanaMu Di dalam hidupku,https://www.youtube.com/watch?v=kvTnpWNiUkw
Aku Lebih Perlu,Grezia Epiphania,2016,Impact Music,Pujian dan Penyembahan,"‘ku mencari wajahMu,Yesus Kekasihku. Bukan karena apa yang Kau buat, tapi karena cintaMu. ‘ku hampiri tahtaMu, oh Yesus Rajaku. Bukan karena kebutuhanku,tapi karena hatiMu. [Reff]‘ku percaya mujizatMu nyata, s’lalu ada tak pernah berubah. Namun, aku lebih perlukan kekuatanMu, menopang hidupku.  ‘ku percaya berkatMu melimpah, takkan pernah kekurangan aku. Namun, aku lebih perlu hati yang bersyukur, hati yang percaya, bahwa segalanya ‘kan indah pada waktunya.",https://www.youtube.com/watch?v=DXsWkKwJUAY
Saat Pagi,Nikita,1997,Maranatha Indonesia,Pujian dan Penyembahan,Saat pagi hari kudatang lagi menghadap Tuhan dan rendahkan diri mengucap syukur buat hari yang Kau b'ri memuji Tuhan dengan s'genap hati ku sembah Kau Allah maha kudus ku tinggikan Allah maha tinggi ku serahkan tubuh jiwa rohku dalam pimpinanmu Tuhan,https://www.youtube.com/watch?v=wYelcN3Mryw
Percaya,Veren,2015,Impact Music,Pujian dan Penyembahan,"Percaya disaat kutak mengerti Percaya disaat kutak melihat Percaya kupercaya, KasihMu sertaku. Percaya berkatMu ada bagiku Percaya tanganMu tak lepaskanku... Percaya kupercaya, Kasih-Mu sertaku. Percaya kupercaya FirmanMu yang terjadi Lampaui s'gala pikiranku Percaya pada-Mu, Percaya kupercaya Firman-Mu Ya dan Amin Lampaui s'gala masalahku Percaya pada-Mu",https://www.youtube.com/watch?v=crUL482pNa8
BAPA ENGKAU SUNGGUH BAIK,Nikita,2001,Maranatha Indonesia,Pujian dan Penyembahan,Bapa Engkau sungguh baik kasihMu melimpah dihidupku Bapa ku berterima kasih berkatMu hari ini yang Kau sediakan bagiku kunaikkan syukurku buat hari yang Kau b'ri tak habis - habisnya kasih dan rahmatMu Selalu baru dan tak pernah terlambat pertolonganMu besar setiaMu dis'panjang hidupku,https://www.youtube.com/watch?v=jxNEzCb-SFA
Saat Ku Pulang Menghadap Bapa,Veren,2021,Impact Music,Pop Kontemporer,"Tuhan aku rela mengosongkan bejana jiwaku ini Dari segala keinginanku dan semua hasrat pribadiku Tuhan p’nuhi aku dengan gairah surgawi yang suci Agar apapun tak kuingini lagi hanya Engkau hartaku abadi Saat kupulang menghadap Bapa hanya Engkau yang kumiliki Kerinduan hatiku kehausan jiwaku dapat kumemandang wajah-Mu. Memandang wajah-Mu bertemu muka dengan-MU, Memandang wajah-Mu menatap keagungan-Mu",https://www.youtube.com/watch?v=Obe4lMviNRI
Kupercaya Janji-Mu,Agatha Chelsea,2017,Unknown,Pujian dan Penyembahan,"Saat ku hancur hati ku datang pada-Mu Kau beri kekuatan dan b'ri penghiburan Saat tak seorang pun dapat kuandalkan Kau yang memberi jalan Kau yang menuntunku Saat ku tak mengerti dalam hidup ini namun firman-Mu selalu menerangiku Engkau yang buatku kuat lewati semua Engkau pertolonganku, Engkau harapanku Tuhan kupercaya janji-Mu dalam hidupku Kau b'ri kemenangan Tuhan Kau s'lalu setia didalam hidupku Kau berharga bagiku, Kaulah jaminanku dalam hidupku",https://www.youtube.com/watch?v=V_XeIX-DTNs
Tuhan Allah T'lah Berfirman - Pop Rohani KK 359 - Live,"IGNITE GKI, GKI Maulana Yusuf",2025,Ignite GKI,Pop,"[VERSE 1]Buka telinga, hai umat-Nya, kabar yang baik dengarkanlah! Buka hatimu: Tuhan datang, hai yang beriman! [VERSE 2] Barang siapa bertelinga, jangan menutup hatinya; yang mau belajar, hai dengarlah Firman yang baka! [BRIDGE:] Firman Tuhan, (Firman Tuhan) Hai dengarkanlah Firman Tuhan,Pandu jalanmu Firman Tuhan,Pandu jalanmu Hai dengarlah, Tuhan [VERSE 3] Umat menyambut Jurus'lamat yang dinantikan dunia; timur dan barat satu jalan, Tuhan pandunya.",https://www.youtube.com/watch?v=fpHY780UiQ0
Sungguh Ku Bangga,"Pdt. Desmon Hutagaol, S.Th",2020,Pelita Utama,Pop,Setia-Mu tak memandang rupa Kasih setia kemurahan-Mu segalanya Kau lepaskan keagungan-Mu Digenapi nubuatan semua firman-Mu Engkau buktikan Engkaulah raja Lahir dan mati bangkit naik ke surga [Reff:] Sungguh ku bangga dipilih-Mu Sebagai ahli waris tahta kerajaan-Mu Sungguh ku bangga dan bersyukur Dijadikan anak-Mu dan miliki kuasa-Mu,https://www.youtube.com/watch?v=ojytMOyKgpk 
Kasih,Nikita,2013,Maranatha Indonesia,Pujian dan Penyembahan,Kasih pasti lemah lembut kasih pasti memaafkan kasih pasti murah hati kasihMu kasihMu Tuhan ajarilah kami ini saling mengasihi ajarilah kami ini saling mengampuni ajarilah kami ini kasihMu ya Tuhan kasihMu kudus tiada batasnya,https://www.youtube.com/watch?v=qCFH9oZQ2Bo
Bapa Yang Lebih Tau,Regina Pangkerego,2023,Sion Production,Pujian dan Penyembahan,Dalam segala keadaan ku mau bersyukur Karena Kau Bapa yang sangat menyayangiku Di manapun ku berada ku menyembah-Mu Sebab Kau berkuasa atas hidupku Kau Bapa yang lebih tahu Semua yang aku perlu Yang paling mengerti semua isi hati Kau sanggup menjawab doaku Lebih dari yang ku pikirkan Sebab itu ku yakin hatiku percaya Yesus kaulah Tuhan..,https://www.youtube.com/watch?v=tw4rWhmZmFc
Hidup Ini Adalah Kesempatan,Life for Jesus Project,2017,Unknown,Pujian dan Penyembahan,Hidup ini adalah kesempatan Hidup ini untuk melayani Tuhan Jangan sia-sia kan waktu yang Tuhan beri Hidup ini hanya sementara Oh Tuhan pakailah hidupku Selagi aku masih kuat Suatu saat aku tak berdaya Hidup ini sudah jadi berkat,https://www.youtube.com/watch?v=dSUEq1k-P2E 
Kunaikkan Syukur PadaMu/Ku Bersyukur,Priskila,2009,Maranatha Indonesia,Pujian dan Penyembahan,Kunaikkan syukur padaMu Yesus Kusembah sujud kepadaMu Tuhan Di hadapan tahta kemuliaanMu Kutinggikan kuagungkan selamanya Segala puji syukur bagiMu Kutinggikan namaMu selalu Kemuliaan hanya bagiMu terpujilah namaMu... Ku bersyukur sebab Kau setia Ku memujiMu karena Kau sangat baik Mulialah namaMu Kutinggikan kuagungkan selama hidupku,https://www.youtube.com/watch?v=EuOE_ng1y20
Ku Tak Dapat Jalan Sendiri,Nikita,2010,Maranatha Indonesia,Pujian dan Penyembahan,ku tak dapat jalan sendiri Tuhan tolonglah daku Biarlah sinarMu menerangiku Sebab ku tak dapat jalan sendiri. Melewati lembah duka semu Jalanku gelap dan ngeri Tuhanku perlu pertolonganMu Sebab ku tak dapat jalan sendiri,https://www.youtube.com/watch?v=Jad0ASk9fO4
Tangan Tuhan,Putri Siagian,2023,Media Berkat Nusantara,Pujian dan Penyembahan,Apa yang kau alami kini Mungkin tak dapat engkau mengerti Satu hal tanamkan di hati Indah semua yang Tuhan b’ri. Tuhan mu tak akan memberi Ular beracun pada yang minta roti Cobaan yang engkau alami Tak melebihi kekuatan mu. Tangan Tuhan sedang merenda Suatu karya yang Agung Mulia Saatnya kan tiba nanti Kau lihat pelangi kasihNya,https://www.youtube.com/watch?v=0yvXHkysKfk
Di Muka Tuhan Yesus,Widya Kristianti,2009,Maranatha,Hymne,"DI MUKA TUHAN YESUS BETAPA HINA DIRIKU. KUBAWA DOSA-DOSAKU DI MUKA TUHAN YESUS. DI MUKA TUHAN YESUS TERSUNGKUR KAR'NA DOSAKU, KUBUKA KERINDUANKU DI MUKA TUHAN YESUS. DI MUKA TUHAN YESUS KU INSAF AKAN SALAHKU; BERTOBAT KINI HATIKU DI MUKA TUHAN YESUS. DI MUKA TUHAN YESUS KUDAPAT KASIH SAYANGNYA; HATIKU PASRAH BERSERAH DI MUKA TUHAN YESUS.",https://www.youtube.com/watch?v=jq1cW4STpEQ
Jadikan Aku Pelangi,Putri Siagian,2022,Media Berkat Nusantara,Pujian dan Penyembahan,Berliku-liku kehidupan ini Jalan mana yang harus kulalui Rintangan dan cobaan s'lalu membayangi Bila kuingin datang pada Mu. Kulayangkan pandang diawan-awan Sejenak anganku bertanya-tanya Dapatkah hati ini bagaikan Pelangi Setiap saat pancarkan damai. Tuhan berikanlah kuasaMu Jadikan aku pelangiMu Kelak kan dapat menerangi Kegelapan Bumi. Tuhan peganglah tanganku ini Bila mendaki bukit terjal Janganlah diombang-ambingkan Iman percayaku. Karna kasihMu Tuhan Aku dislamatkan Karna KasihMu Tuhan Ada pengampunan,https://www.youtube.com/watch?v=5w7h2chq1_4
Hanya Dekat Kepada-Mu,Putri Siagian,2022,Media Berkat Nusantara,Pujian dan Penyembahan,Dalam segala perkara Tuhan ada bersamaku Menggenggam hidupku Memberiku ketenangan Dalam pergumulanku Waktu Tuhan yang terbaik Bahkan lebih dari Apa yang kupikirkan [Reff]Hanya dekat kepadaMu Jiwaku aman di dalamMU Kau yang membuka jalanku Menuntunku ke rencanaMU. Karena kasihMu oh Tuhan Hidupku aman di dalamMu Kau yang membuka jalanku Menuntunku kedalam rencanamu Tuhan,https://www.youtube.com/watch?v=C1--5a7YQoM
Hidup Yang Jujur - Pop Rohani KK 550,"IGNITE GKI, Komunal GKI",2023,Ignite GKI,Pop,"Hidup yang jujur hendak ‘ku serah pada Yesusku yang aku sembah. Persekutuan mesra dan kudus, ingin ‘ku ikat dengan Penebus.[Refrein]Ya Yesus, ‘Kau kurbankan darahMu bagiku; ‘ku b’ri masa depanku dan hidup bagiMu. Hatiku ‘ku serahkan menjadi takhtaMu. Kuminta, kuasailah… seluruh hidupku. Di mana-mana, setiap kerja ‘kan ‘ku lakukan demi Namanya. Rela menanggung sengsara pedih,‘ku ikut Yesus, ‘ku pikul salib.[Refrein] Memuji Yesus dengan hidupku mau berkenan pada Dia penuh, ikut mencari yang hilang sesat, bawa padaNya yang susah penat.",https://www.youtube.com/watch?v=U_t2Coi1_NY
TUHAN PASTI SANGGUP,Nathasya Gracia Stefani,2023,IWO,Pujian dan Penyembahan,"[Verse] Kuatkanlah hatimu Lewati setiap persoalan Tuhan Yesus selalu menopangmu Jangan berhenti harap padaNya.[Reff] Tuhan Pasti Sanggup...TanganNya takkan terlambat untuk mengangkatku Tuhan Masih Sanggup... Percayalah, Dia takkan tinggalkanmu...[Verse]...[Reff] [Bridge] Percayalah, Percayalah, Percayalah, Dia kan mengangkatmu",https://www.youtube.com/watch?v=4ihyjVRBC0E
Hanya Tuhan Pertolonganku,Adrian Takndare,2025,Mighty Music,Pujian dan Penyembahan,Kubersyukur Tuhan KepadaMu KasihMu tiada batas Kau tebus dosaku S'lamatkan jiwaku Engkaulah Tuhan sandaranku. Ku s'rahkan hidupku KepadaMu Bawalah dalam rencanaMu Tuntunlah hidupku Sesuai kehendakMu Engkaulah Yesus harapanku.Hanya Tuhan Pertolonganku Disaat ku lemah Engkaulah kuatku. Hanya Yesus Perlindunganku Disaatku jatuh Kau angkatku,https://www.youtube.com/watch?v=79oDnzNEMRg
Mengalirlah Kuasa Roh Kudus,Gloria Trio,2011,Maranatha Indonesia,Pujian dan Penyembahan,Bagaikan tanah kering Yang merindukan air demikianlah jiwaku Haus akan Engkau Ku rindu selalu HadirMu di hidupku Memulihkan jiwaku hapuskan air mataku.Mengalirlah kuasa Roh Kudus Mengalirlah di tempat ini Mengalirlah oh Roh Kudus di hidupku,https://www.youtube.com/watch?v=4d7CbNBZD3E
Mampirlah Dengar Doaku,Franky Pangkerego,2010,Maranatha,Hymne,"[1] Mampirlah, dengar doaku, Yesus Penebus Orang lain Kauhampiri, jangan jalan t'rus [Reff]Yesus, Tuhan, dengar doaku; Orang lain Kauhampiri, jangan jalan t'rus. [2]Di hadapan takhta rahmat aku menyembah tunduk dalam penyesalan. Tuhan tolonglah! [3] Ini saja andalanku: jasa kurbanku Hatiku yang hancur luluh buatlah sembuh. [4] Kaulah Sumber penghiburan, Raja hidupku. Baik di bumi baik di sorga, siapa bandingMu?",https://www.youtube.com/watch?v=h3sRYe0ShE4
Tak Pernah Terlambat,Veren,2016,Impact Music,Pujian dan Penyembahan,"Sekalipunku harus alami,Keadaan yang sukar di dalam hidupku Namun ‘ku selalu percaya pada-Mu Tuhan yang kuandalkan pasti besertaku. Tak pernah terlambat pertolongan bagiku Sebab Kau Tuhan yang tau jalan di depanku Segala yang Kau perbuat untuk kebaikanku Menopangku dengan kuasa-Mu",https://www.youtube.com/watch?v=6Ug6rfhUsFo
